_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
53f42cfedabfaee02ac5b495,"('53f561bedabfae5c2ef8045b', 0.816496580927726)",,,,,,,,,,,,,,,
53f43195dabfaeb22f43d499,"('54882812dabfae8a11fb40c2', 0.8956685895029602)","('548e343cdabfaef989f0926b', 0.7216098119626151)",,,,,,,,,,,,,,
53f43936dabfaedf4359ac76,"('53f394d8dabfae4b34a6b944', 0.9428090415820636)","('53f3a526dabfae4b34ad3f57', 0.916666666666667)","('562d307a45cedb3398d81748', 0.8703882797784892)","('53f42ee0dabfaeb2acffd387', 0.7745966692414835)","('53f43becdabfaedce5562a78', 0.7284927963857741)",,,,,,,,,,,
53f43ae8dabfaee4dc7adfcb,"('5406def3dabfae92b42266fd', 0.816496580927726)","('5448429cdabfae87b7df7c47', 0.816496580927726)",,,,,,,,,,,,,,
53f43ae1dabfaeb22f49c3de,"('53f4d23cdabfaeedd4780091', 1.0)","('562d30c845cedb3398d82267', 0.75)","('53f45030dabfaedd74e156c8', 0.75)",,,,,,,,,,,,,
53f452a5dabfaeee22a2642f,"('53f44396dabfaefedbb0a308', 0.9090909090909092)","('53f44421dabfaee43ec74e74', 0.9090909090909091)","('54343902dabfaebba5851a2e', 0.9045340337332909)","('560b8a4f45cedb339734eed0', 0.9045340337332909)",,,,,,,,,,,,
53f43227dabfaedd74d7385e,"('53f430a6dabfaeb2ac01333d', 0.7071067811865475)",,,,,,,,,,,,,,,
53f43757dabfaec22ba89ae9,"('5486bb9ddabfae8a11fb3463', 0.816496580927726)",,,,,,,,,,,,,,,
53f43ddedabfaec09f1b4725,"('53f354dddabfae4b3495839f', 0.9163419338230352)","('56cb18bbc35f4f3c6565ed4d', 0.9036961141150639)","('54405acedabfae805a6b37a1', 0.7155813982969739)",,,,,,,,,,,,,
53f4be33dabfaedce177b3ee,"('53f42c49dabfaee0d9aec544', 0.8133900512837775)",,,,,,,,,,,,,,,
540683d7dabfae92b420cad4,"('56313bf945cedb3399d22906', 1.0000000000000002)",,,,,,,,,,,,,,,
53f7ea62dabfae9060af7aa5,"('54329e04dabfaeb542160fda', 0.816496580927726)","('548547fedabfae9b40133527', 0.816496580927726)",,,,,,,,,,,,,,
53f46c28dabfaee02adabd4d,"('56313dd845cedb3399d2ba6c', 0.816496580927726)",,,,,,,,,,,,,,,
53f43af6dabfaedd74dcc986,"('53f46fe6dabfaee02adba351', 0.9999999999999998)",,,,,,,,,,,,,,,
53f42fa5dabfaeb2ac006927,"('53f5b579dabfae4a8af8045b', 0.8164965809277261)","('53f7a388dabfae92b40d0f74', 0.7071067811865477)","('53f453c5dabfaedf43601935', 0.7071067811865477)",,,,,,,,,,,,,
53f43d1adabfaedce556509a,"('562db7b045cedb3398ece2ac', 0.9428090415820636)","('53f45221dabfaee4dc800ebf', 0.8333333333333335)",,,,,,,,,,,,,,
53f437c7dabfaeb2ac05fbc0,"('53f4b599dabfaedce564a7a6', 0.795495128834866)","('56316c3845cedb3399deb7fb', 0.75)",,,,,,,,,,,,,,
